seed,Forest,Knn,Svm,Rna
0,0.761,0.7340000000000001,0.747,0.719
1,0.763,0.728,0.7470000000000001,0.689
2,0.7539999999999999,0.728,0.749,0.7219999999999999
3,0.764,0.719,0.7390000000000001,0.723
4,0.771,0.7190000000000001,0.7420000000000001,0.707
5,0.7609999999999999,0.728,0.739,0.727
6,0.76,0.7209999999999999,0.735,0.717
7,0.7590000000000001,0.72,0.744,0.708
8,0.765,0.7260000000000001,0.7449999999999999,0.712
9,0.7630000000000001,0.722,0.75,0.718
10,0.773,0.729,0.738,0.692
11,0.763,0.723,0.7369999999999999,0.6990000000000001
12,0.768,0.7300000000000001,0.752,0.712
13,0.752,0.724,0.746,0.726
14,0.768,0.729,0.7430000000000001,0.712
15,0.7619999999999999,0.728,0.736,0.7060000000000001
16,0.7609999999999999,0.735,0.7449999999999999,0.7020000000000001
17,0.7630000000000001,0.726,0.7449999999999999,0.7139999999999999
18,0.759,0.726,0.751,0.7310000000000001
19,0.7630000000000001,0.727,0.7409999999999999,0.718
20,0.7510000000000001,0.727,0.736,0.71
21,0.7610000000000001,0.7230000000000001,0.7390000000000001,0.703
22,0.76,0.724,0.745,0.7019999999999998
23,0.772,0.726,0.758,0.704
24,0.764,0.732,0.752,0.7100000000000001
25,0.764,0.7230000000000001,0.7440000000000001,0.721
26,0.773,0.7290000000000001,0.733,0.71
27,0.767,0.724,0.7460000000000001,0.694
28,0.765,0.718,0.733,0.7110000000000001
29,0.7619999999999999,0.728,0.741,0.704
