seed,Naive Bayes,Arvore,Forest,Knn,Regressao,Svm,Rna
0,0.95,0.9400000000000001,0.97,0.8800000000000001,0.93,0.95,0.95
1,0.9509090909090909,0.9509090909090909,0.9609090909090909,0.8800000000000001,0.93,0.95,0.96
2,0.95,0.95,0.9700000000000001,0.8700000000000001,0.9400000000000001,0.95,0.96
3,0.95,0.9609090909090909,0.96,0.8709090909090909,0.940909090909091,0.97,0.96
4,0.9600000000000002,0.96,0.9700000000000001,0.86,0.9400000000000001,0.9600000000000002,0.9600000000000002
5,0.9309090909090909,0.95,0.96,0.8809090909090911,0.9200000000000002,0.93,0.96
6,0.95,0.9400000000000001,0.97,0.8809090909090911,0.93,0.9400000000000001,0.96
7,0.95,0.95,0.96,0.850909090909091,0.93,0.96,0.96
8,0.96,0.9400000000000001,0.9700000000000001,0.891818181818182,0.9209090909090909,0.9318181818181819,0.9509090909090909
9,0.96,0.9509090909090909,0.9800000000000001,0.8800000000000001,0.93,0.93,0.97
10,0.940909090909091,0.9309090909090909,0.9609090909090909,0.8545454545454545,0.9409090909090908,0.9609090909090909,0.9309090909090909
11,0.9609090909090909,0.9618181818181819,0.9600000000000002,0.86,0.9309090909090909,0.95,0.9600000000000002
12,0.9509090909090909,0.9609090909090909,0.9609090909090909,0.8627272727272727,0.940909090909091,0.9709090909090909,0.9609090909090909
13,0.96,0.96,0.97,0.8809090909090909,0.9200000000000002,0.9400000000000001,0.9400000000000001
14,0.96,0.96,0.96,0.86,0.93,0.9400000000000001,0.97
15,0.9509090909090909,0.9609090909090909,0.9609090909090909,0.8818181818181818,0.9400000000000001,0.95,0.9509090909090909
16,0.95,0.96,0.96,0.8809090909090909,0.9400000000000001,0.9400000000000001,0.96
17,0.9509090909090909,0.940909090909091,0.9809090909090908,0.8818181818181818,0.9409090909090908,0.9609090909090909,0.9709090909090909
18,0.9400000000000001,0.97,0.95,0.8400000000000001,0.9100000000000001,0.9399999999999998,0.93
19,0.95,0.96,0.9700000000000001,0.8318181818181818,0.9309090909090909,0.9209090909090911,0.940909090909091
20,0.95,0.96,0.99,0.8709090909090911,0.93,0.95,0.96
21,0.95,0.9400000000000001,0.99,0.8527272727272728,0.9200000000000002,0.96,0.95
22,0.95,0.9509090909090909,0.96,0.8700000000000001,0.93,0.93,0.95
23,0.9409090909090908,0.9700000000000001,0.9800000000000001,0.8718181818181817,0.9218181818181816,0.9509090909090908,0.9509090909090908
24,0.9509090909090908,0.96,0.9509090909090909,0.8636363636363636,0.9309090909090909,0.9318181818181819,0.9509090909090908
25,0.96,0.95,0.9700000000000001,0.850909090909091,0.9409090909090908,0.96,0.96
26,0.95,0.95,0.9800000000000001,0.89,0.9318181818181819,0.9418181818181818,0.9509090909090909
27,0.95,0.96,0.9800000000000001,0.8699999999999999,0.93,0.97,0.95
28,0.9709090909090909,0.9509090909090908,0.940909090909091,0.8718181818181818,0.9209090909090909,0.940909090909091,0.9509090909090908
29,0.9436363636363636,0.9427272727272727,0.9336363636363636,0.8454545454545455,0.9145454545454544,0.9345454545454546,0.9327272727272728
